"","Cal_yrs_BP","min","max","Rhamnaceae","Rutaceae","Asteraceae","Sapindaceae","Rapanea","Elaeocarpaceae","Proteaceae","Hibbertia","Urticaceae/Moraceae","Macaranga","Syzygium","Lycopodiella cernua var. cernua-type","Decaspermum","Pinus","Cyperus","Unknown","Gymnostoma","Arecaceae","Cyathea","Poaceae","Triletes","Polypodiales","Acalypha","Myriophyllum","Sapotaceae","Melastoma","Trema","Cunoniaceae","Freycinetia","Rhizophoraceae","Cuphea","Pandanus","Lycopodium","Ilex","Xanthomyrtus","Schoenus","Quintinia","Ascarina","Verbenaceae","Cichorioideae","Dysoxylum","Pseudodiphasium volubile","Psychotria","Dodonaea","Acacia","Schefflera","Lauraceae","Polyscias","Nepenthes","Meliaceae","Nymphoides","Machaerina"
"1",1419,53,2664,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,6,7,10,11,76,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1785,803,2753,2,6,4,1,6,1,3,0,1,9,3,16,1,0,19,8,4,16,38,10,89,371,1,1,1,1,2,2,2,3,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2150,1259,2860,2,4,1,4,0,0,1,0,0,13,3,25,1,0,14,10,3,19,43,14,105,383,3,2,1,0,0,1,1,0,1,4,11,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2762,2218,3154,6,5,1,2,4,0,3,0,0,10,3,12,3,0,7,19,10,5,68,18,33,289,0,3,0,3,1,0,1,2,7,0,22,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",3252,2888,3716,12,9,2,5,4,6,4,1,4,2,0,14,3,0,5,33,6,7,80,35,28,169,5,5,4,3,0,0,1,0,1,2,1,1,0,2,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0
"6",3497,3092,3988,13,5,0,7,3,6,4,0,1,7,1,2,5,0,0,20,5,3,13,3,4,39,1,3,7,0,0,0,2,1,0,0,1,5,1,0,1,2,3,0,0,0,0,2,2,3,0,0,0,0,0,0
"7",3806,3396,4349,2,1,0,0,0,2,0,0,0,6,0,2,1,0,0,1,2,0,1,2,4,9,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4,1,0,0,0,0,0
"8",4179,3589,5003,0,2,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",4741,3963,5457,1,0,0,0,0,3,1,0,0,6,0,0,4,0,0,2,0,0,5,2,3,5,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"10",5306,4615,5923,2,2,0,1,5,3,0,0,0,9,2,0,5,0,0,2,0,0,4,3,3,12,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"11",5874,5402,6186,0,2,0,0,6,2,1,0,0,0,0,0,0,0,0,3,1,0,1,2,9,19,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,5,0,0,0,1,0,0
"12",6028,5703,6291,0,1,0,1,2,1,1,0,0,13,0,1,10,0,1,3,1,0,2,1,3,19,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0
"13",6174,5911,6465,2,2,0,0,0,1,0,0,0,12,0,0,7,0,0,5,2,0,4,0,5,13,0,0,2,0,0,0,1,0,0,0,1,1,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
"14",6581,6171,7299,1,3,0,3,3,3,2,0,0,15,2,0,13,0,0,3,1,0,2,1,10,24,1,1,1,0,1,0,0,0,1,0,1,3,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,6,0
"15",7130,6380,8748,0,0,0,0,0,4,2,0,0,5,1,0,4,0,0,4,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0
"16",8023,6855,10231,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17",10012,7631,13888,0,2,0,0,0,5,0,2,0,3,0,0,0,0,0,0,0,0,1,0,8,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",12085,8605,17252,0,1,0,0,4,2,0,0,0,9,0,0,1,0,1,1,0,0,2,0,4,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0
"19",14069,9930,19988,0,0,0,0,3,0,2,2,0,4,0,0,1,0,0,4,0,0,2,1,9,14,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",16087,11276,22621,0,3,0,0,1,1,2,0,0,2,0,0,0,0,0,4,1,0,0,0,3,6,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
