"","Cal_yrs_BP","min","max","Altingia sp.","Alyxia sp.","Antidesma sp.","Apiaceae undif.","Apocynaceae undif.","Araceae undif.","Araliaceae undif.","Ascarina lanceolata","Asteraceae undif.","Bombacaceae undif.","Celtis sp.","cf. Anacardiaceae undif.","Cyathaceae undif.","Cyperaceae undif.","Dysoxylum sp.","Elaeoecarpus sp.","Euphorbiaceae type","Euphorbiaceae undif.","Fabaceae undif.","Gunneraceae undif.","Loranthus insularum","Melastomataceae undif.","Monolete spore undif.","Moraceae/Urticaceae undif.","Myrsina sp.","Myrtaceae undif.","Pandanus sp.","Poaceae undif.","Rubiaceae undif.","Rumex sp.","Sapindaceae undif.","Sapotaceae undif.","Selaginella sp.","Solanaceae undif.","Solanum type","Sum unknown","Tiliaceae undif.","Trema sp.","Trilete spore undif.","Weinmannia sp."
"1",545,534,555,0,0,0,0,0,8,0,4,0,0,3,0,37,0,0,0,0,7,0,0,0,3,24,43,0,7,74,8,0,1,4,3,0,0,0,2,7,26,2,42
"2",579,548,609,0,0,0,0,11,23,0,0,0,0,4,0,23,1,0,2,0,3,2,3,0,0,68,56,0,6,13,3,0,0,5,2,0,2,13,5,1,21,24,19
"3",623,594,650,0,0,0,0,3,14,0,1,1,0,14,1,60,0,0,0,0,18,2,0,0,0,74,85,0,3,48,6,0,3,1,5,0,0,3,6,13,32,33,21
"4",661,626,694,0,0,1,0,2,17,1,0,0,0,0,7,45,0,0,1,0,0,1,2,1,0,71,53,0,8,25,2,2,1,2,4,0,0,12,4,0,10,24,12
"5",715,663,771,0,0,2,0,21,12,0,1,0,0,16,1,40,3,0,5,0,2,1,3,0,1,44,48,0,2,21,0,0,0,3,0,0,0,9,3,6,29,18,20
"6",835,780,895,0,0,0,0,15,22,0,1,0,0,1,0,54,4,0,0,0,3,2,5,0,0,58,69,0,15,24,2,1,0,3,5,0,4,15,14,11,47,41,22
"7",982,949,1025,0,0,0,2,3,13,0,0,0,0,16,6,34,1,0,8,0,2,0,3,0,2,43,63,0,10,19,1,0,0,1,4,0,0,1,7,0,31,27,16
"8",1252,1147,1361,0,0,1,0,8,27,0,2,1,0,3,5,56,10,0,0,0,1,0,0,0,3,50,26,0,16,50,1,3,3,1,4,0,0,10,1,4,9,27,19
"9",1827,1702,1935,0,0,0,1,5,14,0,1,1,0,2,8,31,2,0,6,0,5,2,0,0,0,36,87,0,18,30,1,0,0,1,0,0,0,0,4,6,21,24,17
"10",2516,2432,2591,0,0,0,2,7,29,0,1,0,0,7,2,14,0,0,0,0,8,0,3,0,0,50,114,0,6,32,0,1,0,1,0,0,0,5,7,1,23,29,9
"11",2699,2655,2742,0,0,2,0,8,27,0,0,0,0,2,3,11,3,0,4,0,3,0,3,1,4,38,42,0,19,53,1,2,1,1,1,0,3,2,5,10,31,7,14
"12",2879,2833,2932,0,2,1,1,3,36,1,0,0,0,2,6,5,0,0,10,0,6,0,2,0,3,45,24,1,68,39,0,1,0,2,3,0,0,9,2,1,3,6,17
"13",2974,2900,3048,0,0,0,0,6,39,0,0,0,1,1,3,13,1,0,1,0,5,0,0,0,2,23,17,0,54,15,2,4,0,1,0,0,0,2,12,7,22,14,59
"14",3378,3190,3567,0,2,0,0,3,33,0,0,0,0,2,10,13,0,0,4,0,1,0,1,0,5,56,17,0,71,29,0,0,0,0,6,0,3,16,2,0,23,5,7
"15",3480,3317,3641,0,0,0,0,9,16,1,1,0,0,0,0,2,0,0,2,0,0,0,0,1,1,14,42,0,53,32,0,1,4,0,1,0,4,3,5,3,24,1,84
"16",4100,3965,4232,0,0,0,1,6,22,0,0,0,0,2,9,18,3,0,1,0,11,1,1,0,0,38,99,1,12,18,2,0,0,0,0,0,4,6,3,1,21,27,21
"17",4171,4030,4305,0,0,3,1,4,50,0,0,0,0,7,1,13,1,0,3,0,1,1,4,0,4,40,52,0,26,35,0,0,0,1,0,0,0,6,2,5,13,12,14
"18",4243,4083,4401,0,3,0,1,4,46,0,0,0,0,1,1,5,5,0,10,1,1,0,1,0,3,27,33,0,62,31,0,1,1,2,3,0,0,8,3,1,4,8,41
"19",4311,4169,4451,0,1,1,1,5,28,0,0,0,0,1,5,12,0,0,9,0,1,0,0,1,0,61,18,0,50,30,1,0,1,0,1,1,0,8,6,2,10,11,38
"20",4379,4240,4517,0,3,2,1,3,43,0,0,0,0,0,6,11,1,0,7,0,1,0,0,0,2,30,26,0,46,38,0,0,1,1,0,0,0,6,4,3,23,10,37
"21",4448,4319,4576,0,0,1,0,4,29,2,0,0,0,1,4,12,0,0,0,0,1,0,0,1,2,65,20,0,58,25,0,3,0,2,3,0,1,9,3,5,21,11,34
"22",4519,4414,4630,0,3,0,1,1,35,0,0,0,0,1,5,1,2,0,4,0,2,0,0,0,3,32,33,0,101,28,0,1,1,0,0,0,2,3,4,1,6,6,26
"23",4590,4492,4702,0,1,0,0,0,25,0,1,0,0,2,5,9,1,0,4,0,0,1,0,0,5,53,21,1,97,19,1,1,1,2,2,0,0,11,6,2,7,8,23
"24",4880,4754,5000,0,0,0,0,10,54,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,2,19,48,0,51,26,0,0,0,1,0,0,0,5,3,3,30,7,48
"25",5256,5145,5367,0,0,2,0,8,36,1,1,0,0,1,2,5,0,0,0,0,0,0,0,1,2,37,28,1,33,27,0,2,2,0,0,0,2,0,7,3,28,11,58
"26",5626,5541,5713,0,0,1,0,4,35,0,0,0,0,0,4,1,0,0,0,0,0,3,4,2,0,30,43,2,54,35,0,0,1,2,1,0,5,4,3,4,26,6,31
"27",6260,6118,6406,0,0,0,0,6,31,1,0,0,0,0,10,4,1,0,0,0,0,0,1,0,1,22,37,0,82,27,0,0,1,2,2,0,3,0,7,2,29,5,29
"28",7074,6961,7176,0,0,0,0,15,11,0,0,0,0,0,9,6,0,0,0,0,2,1,0,0,0,22,42,0,60,4,0,2,0,2,0,0,3,0,5,0,70,7,39
"29",8134,7910,8349,1,0,0,0,3,50,0,0,0,0,0,10,2,1,0,0,0,0,1,1,0,1,39,30,0,41,57,3,0,2,0,0,0,2,4,3,3,18,4,23
"30",8572,8394,8752,0,0,0,1,4,18,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,1,58,108,0,38,42,1,1,0,1,0,0,4,3,3,0,24,26,24
"31",9174,9003,9347,0,0,0,4,7,0,1,0,0,0,3,12,5,0,0,5,0,1,4,0,0,0,39,27,0,56,3,3,2,2,6,2,0,9,1,11,3,36,9,39
"32",10004,9808,10214,0,0,0,0,12,1,0,0,0,0,2,1,1,0,1,1,0,3,5,1,0,1,28,40,0,31,0,0,3,1,4,1,0,3,3,14,4,76,14,52
